"序号","来源","来源单位负责人","文件名","操作时间","创建时间","SHA256哈希值","SM3哈希值","文件大小","校验人","校验时间","校验人GPG公钥ID","校验人GPG密钥创建时间","获取公钥路径"
"47","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","004300-刑事判决书.jpg","2025年8月27日  12:12:17","2020年12月14日  18:49:08","ABB73DBF5EBF1FF5A14A1F879712DAF8EC2515B504F8DEA6E5A85E5248166F1B","373F034168AC42040B6E535B9FA1A84C1483D971DA5DFFF6DB99C5F9A83FAB23","863.87 KB","王贵平","2025年9月10日  09:35:14","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"48","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","004200-相关证据材料.jpg","2025年8月27日  12:12:16","2020年12月14日  18:50:04","707670FA383E6C80B3F09F96C2ED9E15A9E202A2D3ACD5E0D79611B5EC97773B","BA66CE3E3F325C4B988A7BDE44B3044A766994B72FB9BFE9675E41795B05CC6A","565.19 KB","王贵平","2025年9月10日  09:35:14","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"49","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","004100-相关证据材料.jpg","2025年8月27日  12:12:16","2020年12月14日  18:53:36","CC7CC9FF1BE40C92EA2EFC9E9911CEAAC53B87B54EDDC040119D96BEE40B372A","DC0FDEF953151F446FB84642346D16245E14B1D0C94A1DA6A40401269E5CE9A8","750.02 KB","王贵平","2025年9月10日  09:35:14","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"50","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","005700-执行通知书存根及回执.jpg","2025年8月27日  12:12:19","2020年12月15日  08:53:24","EAA0236804AFD29B96718693A2D12724EC6A10F5B16247D8CD89F7110F26EF91","66177FD8C38BB620410212918B82115EA2E2F971D8838307D92D4502E1A1851F","433.51 KB","王贵平","2025年9月10日  09:35:16","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"51","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","005600-执行通知书存根及回执.jpg","2025年8月27日  12:12:19","2020年12月15日  08:54:58","CB2358A1B3C4D3DB54F3B5BB9360F88EB4D14EEC4DD527EBC91636D75CD80B58","31BAF9EADC505E309FF3A428BDE4414BD542238A1AE0ED6969B3DE1B94483002","667.51 KB","王贵平","2025年9月10日  09:35:16","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"52","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","005500-刑事裁定书.jpg","2025年8月27日  12:12:18","2020年12月15日  08:56:22","8C5E1796BF30A73DE21F676CCA424EDB7D33F2B3357DD09174CC62B4AB1CAC4E","39A69DD709F8E81DDD1A5417F06CED73653558496F5F89A50863AA6CA6E319FA","685.09 KB","王贵平","2025年9月10日  09:35:16","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"53","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","005400-刑事裁定书.jpg","2025年8月27日  12:12:18","2020年12月15日  08:57:50","047D546D81925E1A1D110BAC631973F2A5A9BD5F536E2E5B85018EF8AC0E6DF8","7A416C262760DEB40CCA90E97EA8E4FF6D35C4988940BA304EB32E7AB2252964","791.26 KB","王贵平","2025年9月10日  09:35:15","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"54","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","005300-刑事裁定书.jpg","2025年8月27日  12:12:18","2020年12月15日  08:58:16","55B9B9017B3FE2F77C4218ECF4AE0360BAC4F5F1FC8C124D52C77BEB9F844A1A","81B4E95A7F6D6243F070500C37DEFB3AF3A2056B9AEA40EDE6C3D59B57331240","659.12 KB","王贵平","2025年9月10日  09:35:15","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"55","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","005100-上诉移送函（稿）及退卷函.jpg","2025年8月27日  12:12:18","2020年12月15日  09:01:30","DCE48D9C91A0D7648FFBB4D2F4EC1CE8C920398843B9D0B3F2A04EA9069DA116","34F74EECA0FD6D566FFC5011068093E47EFB9BA6C667CA13057A93EE5D371C2D","541.26 KB","王贵平","2025年9月10日  09:35:15","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"56","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","(2019)黔0103刑初821号.pdf","2025年9月1日  09:50:53","2025年9月1日  09:48:24","A9079E98DB6033FD8531D53F54DBCAE7E856CE580E10B377B0E6D41739D37B45","1E1AA7701A877A3C7D74A129319194E56BEA3CF3A4842A81EF60CFDB8EA37BA4","31.49 MB","王贵平","2025年9月10日  09:35:05","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
